plan_id,bank_code,bank_label_th,product_name_th,campaign_code,financing_type,rate_type,rate_basis,rate_reference,term_min_months,term_max_months,term_step_months,price_min,price_max,down_percent_options,processing_fee,monthly_fee,tax_deduction_eligible,requires_collateral,requires_fire_insurance,requires_credit_card_of_bank,recommend_tags,guide_question_hint_th,note_th,status,effective_from,effective_to
PLN-2025-CASH,CASH,ชำระเงินสด,ชำระเงินสด,CASH,cash,flat,fixed,,0,0,0,0,99999999,"1.0",0,0,FALSE,FALSE,FALSE,FALSE,"เงินสด,ไม่มีดอก",ลูกค้าจ่ายเงินสดเลย,ไม่ต้องผ่อน,active,2025-01-01,
PLN-2025-ICBC-S,ICBC,ธนาคาร ICBC (ไทย),สินเชื่อ Solar ICBC อัตราคงที่,SRI001,personal_loan,flat,fixed,,48,84,12,0,2000000,"0.10,0.15,0.20,0.25",0,0,FALSE,FALSE,TRUE,FALSE,"ผ่อนสั้น,ไม่ใช้บ้านค้ำ",ถามว่าลูกค้าต้องการไม่ใช้บ้านค้ำ,ทำพร้อมประกันอัคคีภัย,active,2025-01-01,
PLN-2025-ICBC-TEASER,ICBC,ธนาคาร ICBC (ไทย),สินเชื่อ Solar ICBC 0.99% ปีแรก,SRI002,personal_loan,flat,fixed,,60,84,12,0,2000000,"0.10,0.15,0.20",0,0,FALSE,FALSE,TRUE,FALSE,"โปร 0.99,ดอกถูกปีแรก",เน้นโปรปีแรก เหมาะลูกค้าอยากปิดดีลเร็ว,ปีแรก 0.99% ปีถัดไป 4.99% — รวม flat,active,2025-04-01,
PLN-2025-BBL-HE,BBL,ธ.กรุงเทพ,Home Equity Solar Loan,HE-BBL,home_equity,reducing,reference,MRR-1.00,120,240,12,0,99999999,"0",0,0,TRUE,TRUE,TRUE,FALSE,"ลดหย่อนภาษี,ดอกถูกสุด,ผ่อนยาว",ถามว่ามีบ้านเป็นชื่อตัวเองพร้อมใช้ค้ำ,ใช้บ้านค้ำประกัน ผ่อนได้ถึง 20 ปี และเข้าเงื่อนไขลดหย่อนภาษีสูงสุด 200000 บาท,active,2025-01-01,
PLN-2025-KTB-HE,KTB,ธ.กรุงไทย,Home Equity Solar Loan,HE-KTB,home_equity,reducing,reference,MLR+0.55,120,240,12,0,99999999,"0",0,0,TRUE,TRUE,TRUE,FALSE,"ลดหย่อนภาษี,ผ่อนยาว",ถามว่ามีบ้านเป็นชื่อตัวเองพร้อมใช้ค้ำ,ใช้บ้านค้ำประกัน ผ่อนได้ถึง 20 ปี,active,2025-01-01,
PLN-2025-KBANK-HE,KBANK,ธ.กสิกรไทย,Home Equity Solar Loan,HE-KBANK,home_equity,reducing,reference,MRR,120,240,12,0,99999999,"0",0,0,TRUE,TRUE,TRUE,FALSE,"ลดหย่อนภาษี,ผ่อนยาว",ถามว่ามีบ้านเป็นชื่อตัวเองพร้อมใช้ค้ำ,ใช้บ้านค้ำประกัน ผ่อนได้ถึง 20 ปี,active,2025-01-01,
PLN-2025-GHB-HE,GHB,ธ.อาคารสงเคราะห์,Home Equity Solar Loan,HE-GHB,home_equity,reducing,reference,MRR-0.50,120,240,12,0,99999999,"0",0,0,TRUE,TRUE,TRUE,FALSE,"ลดหย่อนภาษี,ดอกถูกสุด,ผ่อนยาว",ถามว่ามีบ้านเป็นชื่อตัวเองพร้อมใช้ค้ำ,ใช้บ้านค้ำประกัน ผ่อนได้ถึง 20 ปี ดอกเบี้ยต่ำสุด,active,2025-01-01,
PLN-2025-KTC-CC,KTC,บัตรเครดิต KTC,ผ่อนบัตรเครดิต KTC 3/6/10 เดือน,CDC-KTC,credit_card_installment,flat,fixed,,3,10,1,0,99999999,"0",0,0,FALSE,FALSE,FALSE,TRUE,"ผ่อนสั้น,ใช้บัตรเครดิต",ลูกค้ามีบัตร KTC ไหม,ต้องมีบัตรเครดิต KTC,active,2025-01-01,
PLN-2025-KBANK-CC,KBANK,บัตรเครดิต KBANK,ผ่อนบัตรเครดิต KBANK 3/6/10 เดือน,CDC-KBANK,credit_card_installment,flat,fixed,,3,10,1,0,99999999,"0",0,0,FALSE,FALSE,FALSE,TRUE,"ผ่อนสั้น,ใช้บัตรเครดิต",ลูกค้ามีบัตร KBANK ไหม,ต้องมีบัตรเครดิต KBANK,active,2025-01-01,
PLN-2025-KRUNGSRI-CC,KRUNGSRI,บัตรเครดิต KRUNGSRI,ผ่อนบัตรเครดิต KRUNGSRI 3/6/10 เดือน,CDC-KRUNGSRI,credit_card_installment,flat,fixed,,3,10,1,0,99999999,"0",0,0,FALSE,FALSE,FALSE,TRUE,"ผ่อนสั้น,ใช้บัตรเครดิต",ลูกค้ามีบัตร KRUNGSRI ไหม,ต้องมีบัตรเครดิต KRUNGSRI,active,2025-01-01,
